time_s,program_bits,population,alphabet_size,holdout_len,nesting_depth
128.701,43.59,S1,3,50,
27.678,47.78,S1,2,50,
26.312,47.78,S1,2,50,
16.406,47.78,S1,2,50,
306.393,116.78,S1,4,50,6
16.092,47.78,S1,2,50,
276.256,116.78,S1,4,50,6
16.475,47.78,S1,2,50,
377.788,116.78,S1,4,50,6
32.971,47.78,S1,2,50,
47.429,54.38,S1,2,21,
107.161,71.17,S1,2,25,
50.884,52.98,S1,3,20,
10.086,13.45,S1,2,20,
10.010,15.03,S1,2,20,
16.221,17.86,S1,2,20,
10.088,13.45,S1,2,20,
10.086,13.45,S1,2,20,
15.075,17.86,S1,2,20,
41.254,19.20,S1,2,20,
10.015,15.03,S1,2,20,
10.016,15.03,S1,2,20,
10.015,15.03,S1,2,20,
10.084,15.03,S1,3,20,
10.017,15.03,S1,2,20,
10.169,13.45,S1,2,20,
10.015,15.03,S1,2,20,
16.050,17.86,S1,2,20,
10.707,13.45,S1,2,20,
10.017,15.03,S1,2,20,
47.687,44.26,S1,3,20,
10.017,15.03,S1,2,20,
10.017,15.03,S1,2,20,
15.372,24.73,S1,3,20,
10.009,15.03,S1,2,20,
10.260,13.45,S1,2,20,
10.131,15.03,S1,3,20,
10.013,15.61,S1,2,20,
10.354,13.45,S1,3,20,
10.014,15.03,S1,2,20,
23.362,30.73,S1,3,20,
10.018,15.03,S1,2,20,
10.016,15.03,S1,2,20,
13.186,13.45,S1,2,20,
12.869,18.19,S1,3,20,
10.016,15.03,S1,2,20,
10.016,15.03,S1,2,20,
11.661,15.61,S1,3,20,
10.018,15.61,S1,2,20,
11.844,22.48,S1,3,20,
13.283,15.03,S1,2,20,
20.746,24.73,S1,3,20,
10.019,15.61,S1,2,20,
10.151,15.61,S1,3,20,
16.209,17.86,S1,2,20,
10.110,15.03,S1,3,20,
16.042,28.73,S1,2,20,
16.257,17.86,S1,3,20,
10.013,15.61,S1,2,25,
105.962,85.32,S1,3,25,4
17.648,17.86,S1,2,20,
10.106,13.45,S1,2,20,
10.136,13.45,S1,2,20,
10.019,15.03,S1,2,20,
21.902,17.86,S1,2,20,
10.270,15.03,S1,2,20,
46.403,17.86,S1,2,20,
10.014,15.03,S1,2,20,
18.084,15.03,S1,2,20,
10.144,13.45,S1,2,20,
10.089,13.45,S1,2,20,
10.013,15.03,S1,2,20,
10.094,15.03,S1,3,20,
10.092,13.45,S1,2,20,
10.109,13.45,S1,3,20,
10.092,13.45,S1,2,20,
10.084,13.45,S1,2,20,
10.087,13.45,S1,2,20,
10.011,15.03,S1,2,20,
28.671,30.73,S1,3,20,
10.178,13.45,S1,2,20,
10.081,15.03,S1,3,20,
55.405,26.73,S1,2,20,
42.194,34.09,S1,3,20,
15.803,15.70,S1,2,20,
55.379,44.53,S1,3,20,
49.258,19.20,S1,2,21,
50.770,19.20,S1,3,21,
40.805,19.20,S1,2,20,
49.521,45.53,S1,3,20,
10.010,15.61,S1,2,20,
10.078,15.03,S1,3,20,
48.287,19.20,S1,2,21,
51.344,19.20,S1,3,21,
10.076,15.03,S1,2,20,
25.395,13.45,S1,2,20,
12.394,15.61,S1,2,20,
44.057,27.68,S1,2,21,
42.033,27.68,S1,3,21,
42.258,20.43,S1,2,21,
40.177,20.43,S1,3,21,
10.014,15.61,S1,2,20,
27.170,47.53,S1,3,20,
17.919,15.61,S1,2,20,
48.043,57.98,S1,3,20,
19.957,15.61,S1,2,20,
166.779,66.81,S1,3,20,3
12.253,15.61,S1,2,20,
20.484,15.61,S1,3,20,
11.840,15.03,S1,2,20,
22.595,17.86,S1,2,22,
21.244,15.03,S1,2,20,
11.592,15.03,S1,2,20,
10.015,15.03,S1,2,20,
10.018,15.03,S1,2,20,
11.585,13.45,S1,2,20,
14.900,17.86,S1,2,20,
14.794,17.86,S1,2,20,
61.580,35.09,S1,2,20,
10.016,15.03,S1,2,20,
10.022,15.03,S2,2,125,
10.051,15.61,S2,2,125,
10.023,15.03,S2,2,125,
42.478,19.20,S2,2,125,
10.259,13.45,S2,2,125,
10.276,13.45,S2,2,125,
24.962,15.70,S2,2,125,
20.998,17.86,S2,2,125,
10.031,15.03,S2,2,125,
47.289,22.07,S2,2,125,
10.023,15.03,S2,2,125,
47.071,19.20,S2,2,125,
10.282,13.45,S2,2,125,
10.298,13.45,S2,2,125,
34.629,15.70,S2,2,125,
21.950,17.86,S2,2,125,
10.028,15.03,S2,2,125,
45.296,19.20,S2,2,125,
10.027,15.03,S2,2,125,
45.190,19.20,S2,2,125,
31.961,15.70,S2,2,125,
22.757,17.86,S2,2,125,
29.942,15.70,S2,2,125,
20.268,17.86,S2,2,125,
10.021,15.03,S2,2,125,
10.022,15.03,S2,2,125,
42.867,19.20,S2,2,125,
10.263,13.45,S2,2,125,
10.251,13.45,S2,2,125,
67.298,74.53,S2,2,125,
16.708,17.86,S2,2,125,
10.019,15.03,S2,2,125,
16.917,15.61,S2,2,125,
10.019,15.03,S2,2,125,
43.598,19.20,S2,2,125,
10.267,13.45,S2,2,125,
44.989,19.20,S2,2,125,
23.607,15.70,S2,2,125,
18.055,17.86,S2,2,125,
10.020,15.03,S2,2,125,
42.264,21.35,S2,2,125,
10.019,15.03,S2,2,125,
43.489,19.20,S2,2,125,
10.262,13.45,S2,2,125,
23.494,15.70,S2,2,125,
17.117,17.86,S2,2,125,
10.020,15.03,S2,2,125,
43.273,19.20,S2,2,125,
17.810,15.61,S2,2,125,
17.471,15.61,S2,2,125,
24.034,15.70,S2,2,125,
16.719,17.86,S2,2,125,
15.987,17.86,S2,2,125,
16.725,17.86,S2,2,125,
10.019,15.03,S2,2,125,
16.032,25.73,S2,2,125,
17.539,15.61,S2,2,125,
43.667,20.43,S2,2,125,
10.254,13.45,S2,2,125,
44.577,39.91,S2,2,125,
16.762,24.11,S2,2,125,
16.531,17.86,S2,2,125,
10.020,15.03,S2,2,125,
41.722,22.07,S2,2,125,
10.020,15.03,S2,2,125,
10.256,13.45,S2,2,125,
10.251,13.45,S2,2,125,
10.254,13.45,S2,2,125,
10.255,13.45,S2,2,125,
10.021,15.03,S2,2,125,
17.298,15.61,S2,2,125,
10.023,15.03,S2,2,125,
10.278,13.45,S2,2,125,
10.271,13.45,S2,2,125,
10.266,13.45,S2,2,125,
10.257,13.45,S2,2,125,
10.021,15.03,S2,2,125,
43.610,19.20,S2,2,125,
10.021,15.03,S2,2,125,
41.331,19.20,S2,2,125,
21.865,15.70,S2,2,125,
17.076,17.86,S2,2,125,
63.869,74.53,S2,2,125,
16.809,17.86,S2,2,125,
10.022,15.03,S2,2,125,
10.022,15.03,S2,2,125,
42.114,33.90,S2,2,125,
10.267,13.45,S2,2,125,
10.272,13.45,S2,2,125,
21.919,15.70,S2,2,125,
17.679,17.86,S2,2,125,
10.025,15.03,S2,2,125,
43.186,21.35,S2,2,125,
10.019,15.03,S2,2,125,
16.056,25.73,S2,2,125,
10.253,13.45,S2,2,125,
10.258,13.45,S2,2,125,
42.972,39.91,S2,2,125,
10.019,15.03,S2,2,125,
15.283,15.61,S2,2,125,
10.020,15.03,S2,2,125,
586.874,75.13,S2,2,125,
10.255,13.45,S2,2,125,
41.729,26.03,S2,2,125,
10.266,13.45,S2,2,125,
42.221,23.18,S2,2,125,
10.020,15.03,S2,2,125,
42.627,19.20,S2,2,125,
19.448,15.61,S2,2,125,
41.717,20.43,S2,2,125,
24.310,15.70,S2,2,125,
16.649,17.86,S2,2,125,
17.159,24.11,S2,2,125,
16.859,17.86,S2,2,125,
10.020,15.03,S2,2,125,
586.279,75.13,S2,2,125,
17.654,15.61,S2,2,125,
17.657,15.61,S2,2,125,
10.272,13.45,S2,2,125,
43.040,23.18,S2,2,125,
13.051,46.78,S2,2,125,
17.061,17.86,S2,2,125,
10.020,15.03,S2,2,125,
15.482,54.73,S2,2,125,
10.019,15.03,S2,2,125,
16.539,25.73,S2,2,125,
10.257,13.45,S2,2,125,
10.254,13.45,S2,2,125,
23.157,15.70,S2,2,125,
10.019,15.03,S2,2,125,
10.021,15.03,S2,2,125,
16.161,31.98,S2,2,125,
10.255,13.45,S2,2,125,
10.259,13.45,S2,2,125,
23.695,15.70,S2,2,125,
44.099,33.90,S2,2,125,
10.020,15.03,S2,2,125,
16.545,25.73,S2,2,125,
10.021,15.03,S2,2,125,
17.133,17.86,S2,2,125,
22.526,15.70,S2,2,125,
10.260,13.45,S2,2,125,
10.273,13.45,S2,2,125,
10.020,15.03,S2,2,125,
10.020,15.03,S2,2,125,
10.020,15.03,S2,2,125,
16.164,31.98,S2,2,125,
10.258,13.45,S2,2,125,
10.255,13.45,S2,2,125,
43.479,35.09,S2,2,125,
10.265,13.45,S2,2,125,
10.020,15.03,S2,2,125,
14.456,54.73,S2,2,125,
10.019,15.03,S2,2,125,
42.649,19.20,S2,2,125,
10.255,13.45,S2,2,125,
10.258,13.45,S2,2,125,
23.729,15.70,S2,2,125,
10.019,15.03,S2,2,125,
43.295,41.09,S2,2,125,
10.020,15.03,S2,2,125,
16.924,31.98,S2,2,125,
10.263,13.45,S2,2,125,
10.281,13.45,S2,2,125,
22.228,15.70,S2,2,125,
43.517,19.20,S2,2,125,
10.019,15.03,S2,2,125,
42.695,19.20,S2,2,125,
17.451,15.61,S2,2,125,
17.518,15.61,S2,2,125,
22.595,15.70,S2,2,125,
10.263,13.45,S2,2,125,
10.255,13.45,S2,2,125,
10.019,15.03,S2,2,125,
15.969,31.98,S2,2,125,
17.162,15.61,S2,2,125,
17.112,17.86,S2,2,125,
10.258,13.45,S2,2,125,
10.258,13.45,S2,2,125,
44.861,35.09,S2,2,125,
10.256,13.45,S2,2,125,
10.019,15.03,S2,2,125,
10.020,15.03,S2,2,125,
10.019,15.03,S2,2,125,
10.246,13.45,S2,2,125,
10.255,13.45,S2,2,125,
10.259,13.45,S2,2,125,
10.257,13.45,S2,2,125,
10.020,15.03,S2,2,125,
17.484,15.61,S2,2,125,
10.019,15.03,S2,2,125,
10.020,15.03,S2,2,125,
10.256,13.45,S2,2,125,
10.264,13.45,S2,2,125,
10.248,13.45,S2,2,125,
10.257,13.45,S2,2,125,
10.019,15.03,S2,2,125,
16.391,31.98,S2,2,125,
10.019,15.03,S2,2,125,
16.809,31.98,S2,2,125,
21.800,15.70,S2,2,125,
42.221,33.90,S2,2,125,
46.821,35.09,S2,2,125,
10.257,13.45,S2,2,125,
10.019,15.03,S2,2,125,
10.020,15.03,S2,2,125,
10.021,15.03,S2,2,125,
10.020,15.03,S2,2,125,
10.259,13.45,S2,2,125,
10.256,13.45,S2,2,125,
10.257,13.45,S2,2,125,
10.256,13.45,S2,2,125,
10.020,15.03,S2,2,125,
43.434,41.09,S2,2,125,
10.021,15.03,S2,2,125,
16.446,31.98,S2,2,125,
10.255,13.45,S2,2,125,
10.258,13.45,S2,2,125,
10.258,13.45,S2,2,125,
10.256,13.45,S2,2,125,
10.021,15.03,S2,2,125,
43.186,20.43,S2,2,125,
10.020,15.03,S2,2,125,
16.660,31.98,S2,2,125,
10.306,13.45,S2,2,125,
10.270,13.45,S2,2,125,
10.273,13.45,S2,2,125,
10.247,13.45,S2,2,125,
10.019,15.03,S2,2,125,
16.128,31.98,S2,2,125,
17.353,15.61,S2,2,125,
17.511,17.86,S2,2,125,
23.407,15.70,S2,2,125,
42.040,19.20,S2,2,125,
44.573,35.09,S2,2,125,
10.254,13.45,S2,2,125,
10.020,15.03,S2,2,125,
16.309,31.98,S2,2,125,
17.315,15.61,S2,2,125,
17.236,17.86,S2,2,125,
10.254,13.45,S2,2,125,
10.256,13.45,S2,2,125,
10.261,13.45,S2,2,125,
10.261,13.45,S2,2,125,
16.491,18.87,S3,2,33,
16.628,18.87,S3,3,33,
16.612,18.87,S3,4,33,
10.063,13.45,S3,2,20,
19.963,33.73,S3,3,20,
10.084,15.61,S3,4,20,
10.017,15.03,S3,2,20,
10.109,19.19,S3,3,20,
10.239,20.46,S3,2,20,
81.227,85.32,S3,4,20,4
10.209,18.87,S3,2,20,
10.076,15.61,S3,3,20,
81.882,65.81,S3,4,20,3
14.888,24.11,S3,3,20,
14.896,17.86,S3,3,20,
10.077,18.19,S3,3,20,
10.298,13.45,S3,2,20,
10.179,22.48,S3,3,20,
52.179,55.13,S3,4,20,
22.428,16.62,S3,2,20,
10.182,15.61,S3,3,20,
10.133,13.45,S3,2,20,
10.017,15.03,S3,2,20,
10.021,15.61,S3,2,20,
11.092,16.62,S3,3,20,
11.185,15.61,S3,4,20,
18.292,25.73,S3,2,20,
12.515,17.37,S3,3,20,
36.694,46.53,S3,4,20,
10.014,15.61,S3,2,20,
10.135,15.61,S3,3,20,
40.570,37.09,S3,4,20,
40.051,25.73,S3,2,20,
20.858,18.78,S3,3,20,
10.014,15.61,S3,2,20,
17.030,19.24,S3,3,20,
10.130,15.61,S3,4,20,
40.026,25.73,S3,2,20,
11.737,15.61,S3,3,20,
10.015,15.61,S3,2,20,
10.915,19.94,S3,3,20,
23.316,37.09,S3,4,20,
30.134,26.73,S3,2,20,
28.826,20.22,S3,3,20,
92.655,43.11,S3,4,20,
10.016,15.03,S3,2,20,
10.022,15.61,S3,2,20,
22.557,46.53,S3,3,20,
41.185,25.73,S3,4,20,
10.012,15.03,S3,2,26,
12.659,15.61,S3,2,20,
10.088,15.61,S3,4,20,
10.253,20.46,S3,2,22,
10.087,15.61,S3,3,22,
21.725,20.46,S3,4,22,
19.631,21.46,S3,2,27,
22.318,21.46,S3,3,27,
13.736,21.46,S3,4,27,
48.295,44.53,S3,3,20,
10.010,15.61,S3,2,20,
24.047,26.73,S3,3,20,
22.646,26.73,S3,4,20,
20.748,38.09,S3,2,26,
10.076,15.61,S3,3,26,
19.889,38.09,S3,4,26,
10.114,15.61,S3,3,20,
10.472,15.61,S3,3,20,
10.115,13.45,S3,2,20,
16.222,13.45,S3,2,20,
16.433,18.78,S3,3,20,
53.644,26.73,S3,4,20,
10.297,13.45,S3,2,20,
10.014,15.03,S3,2,20,
10.011,15.61,S3,2,20,
10.155,20.44,S3,3,20,
22.710,43.53,S3,2,20,
23.567,43.53,S3,3,20,
39.180,44.77,S3,4,20,
10.011,15.03,S3,2,20,
21.762,16.62,S3,3,20,
40.389,55.13,S3,4,20,
20.204,7.25,S3,2,26,
10.653,7.25,S3,3,26,
20.639,7.25,S3,4,26,
18.421,8.25,S3,2,22,
20.474,8.25,S3,3,22,
19.329,8.25,S3,4,22,
20.688,7.25,S3,2,22,
19.705,7.25,S3,3,22,
19.823,7.25,S3,4,22,
10.104,13.45,S3,2,20,
10.011,15.61,S3,2,20,
169.314,57.13,S3,3,20,
43.393,32.43,S3,4,20,
10.213,13.45,S3,2,20,
10.109,13.45,S3,2,20,
16.202,17.86,S3,2,20,
10.011,15.03,S3,2,20,
18.590,46.78,S3,2,22,
86.267,85.32,S3,3,22,4
71.447,85.32,S3,4,22,4
10.014,15.61,S3,2,20,
57.043,28.73,S3,2,20,
10.016,15.03,S3,2,20,
10.009,15.61,S3,2,20,
26.098,28.73,S3,3,20,
10.082,18.78,S3,4,20,
10.016,15.61,S3,2,20,
41.589,25.73,S3,4,20,
10.082,15.61,S3,3,20,
10.111,13.45,S3,3,20,
20.753,34.09,S3,2,23,
14.916,17.86,S3,2,21,
60.718,54.54,S3,3,21,
51.804,36.09,S3,4,21,
10.010,15.61,S3,2,26,
17.856,17.37,S3,3,26,
18.063,17.37,S3,4,26,
11.684,20.46,S3,2,20,
10.075,15.61,S3,3,20,
16.233,17.29,S3,2,30,
17.254,17.29,S3,3,30,
16.268,17.29,S3,4,30,
10.080,18.19,S3,3,20,
10.009,15.61,S3,2,20,
94.716,88.49,S3,4,20,4
26.051,27.73,S3,2,20,
10.075,18.19,S3,3,20,
29.555,46.53,S3,4,20,
10.010,15.61,S3,2,26,
53.652,55.13,S3,3,26,
54.581,56.71,S3,4,26,
10.087,13.45,S3,2,20,
10.013,15.03,S3,2,20,
15.080,24.73,S3,3,20,
42.790,27.68,S3,2,20,
10.081,13.45,S3,2,20,
10.016,15.03,S3,2,20,
10.017,15.03,S3,2,20,
10.011,15.61,S3,2,20,
