"id","stage","class","class_simple","time_s"
"collatz_k3_c1_b2","S1","neither","other",600.102
"collatz_k3_c1_b3","S1","discovered","discovered",128.701
"collatz_k3_c1_b4","S1","neither","other",600.112
"collatz_k3_c3_b2","S1","discovered","discovered",27.678
"collatz_k3_c3_b3","S1","neither","other",601.28
"collatz_k3_c3_b4","S1","neither","other",600.102
"collatz_k3_c5_b2","S1","neither","other",600.152
"collatz_k3_c5_b3","S1","neither","other",600.463
"collatz_k3_c5_b4","S1","neither","other",600.107
"collatz_k3_c7_b2","S1","neither","other",600.097
"collatz_k3_c7_b3","S1","neither","other",600.107
"collatz_k3_c7_b4","S1","neither","other",600.205
"collatz_k5_c1_b2","S1","neither","other",600.092
"collatz_k5_c1_b3","S1","neither","other",600.11
"collatz_k5_c1_b4","S1","neither","other",600.077
"collatz_k5_c3_b2","S1","neither","other",600.174
"collatz_k5_c3_b3","S1","neither","other",600.527
"collatz_k5_c3_b4","S1","neither","other",600.115
"collatz_k5_c5_b2","S1","discovered","discovered",26.312
"collatz_k5_c5_b3","S1","neither","other",600.146
"collatz_k5_c5_b4","S1","neither","other",600.085
"collatz_k5_c7_b2","S1","neither","other",600.093
"collatz_k5_c7_b3","S1","neither","other",600.243
"collatz_k5_c7_b4","S1","neither","other",600.095
"collatz_k7_c1_b2","S1","neither","other",600.061
"collatz_k7_c1_b3","S1","neither","other",600.044
"collatz_k7_c1_b4","S1","neither","other",600.055
"collatz_k7_c3_b2","S1","discovered","discovered",16.406
"collatz_k7_c3_b3","S1","neither","other",600.062
"collatz_k7_c3_b4","S1","discovered","discovered",306.393
"collatz_k7_c5_b2","S1","discovered","discovered",16.092
"collatz_k7_c5_b3","S1","neither","other",600.045
"collatz_k7_c5_b4","S1","discovered","discovered",276.256
"collatz_k7_c7_b2","S1","discovered","discovered",16.475
"collatz_k7_c7_b3","S1","neither","other",600.165
"collatz_k7_c7_b4","S1","discovered","discovered",377.788
"collatz_k9_c1_b2","S1","neither","other",600.12
"collatz_k9_c1_b3","S1","neither","other",600.1
"collatz_k9_c1_b4","S1","neither","other",600.081
"collatz_k9_c3_b2","S1","discovered","discovered",32.971
"collatz_k9_c3_b3","S1","neither","other",600.122
"collatz_k9_c3_b4","S1","neither","other",600.126
"collatz_k9_c5_b2","S1","neither","other",600.085
"collatz_k9_c5_b3","S1","neither","other",600.097
"collatz_k9_c5_b4","S1","neither","other",600.08
"collatz_k9_c7_b2","S1","neither","other",600.103
"collatz_k9_c7_b3","S1","neither","other",600.095
"collatz_k9_c7_b4","S1","neither","other",600.115
"collatz_k11_c1_b2","S1","neither","other",600.095
"collatz_k11_c1_b3","S1","neither","other",600.116
"collatz_k11_c1_b4","S1","neither","other",600.1
"collatz_k11_c3_b2","S1","neither","other",600.052
"collatz_k11_c3_b3","S1","neither","other",600.092
"collatz_k11_c3_b4","S1","neither","other",600.056
"collatz_k11_c5_b2","S1","neither","other",600.074
"collatz_k11_c5_b3","S1","neither","other",600.06
"collatz_k11_c5_b4","S1","neither","other",600.051
"collatz_k11_c7_b2","S1","neither","other",600.062
"collatz_k11_c7_b3","S1","neither","other",600.068
"collatz_k11_c7_b4","S1","neither","other",600.056
"A033819_a2","S1","neither","other",600.056
"A033819_a3","S1","neither","other",600.056
"A056033_a2","S1","neither","other",600.059
"A056033_a3","S1","neither","other",600.063
"A056036_a2","S1","neither","other",169.238
"A056036_a3","S1","neither","other",600.064
"A068407_a2","S1","neither","other",600.058
"A068407_a3","S1","neither","other",600.038
"A068408_a2","S1","neither","other",600.055
"A068408_a3","S1","neither","other",600.053
"A072495_a2","S1","neither","other",600.211
"A072495_a3","S1","neither","other",600.288
"A072496_a2","S1","neither","other",600.056
"A072496_a3","S1","neither","other",600.051
"A076650_a2","S1","neither","other",56.068
"A076650_a3","S1","neither","other",600.412
"A316344_a2","S1","neither","other",600.088
"A316344_a3","S1","neither","other",600.066
"A316345_a2","S1","neither","other",600.055
"A316345_a3","S1","neither","other",600.053
"A316824_a2","S1","discovered","discovered",47.429
"A316824_a3","S1","neither","other",600.061
"A316827_a2","S1","neither","other",600.047
"A316827_a3","S1","neither","other",600.054
"A317189_a2","S1","neither","other",600.056
"A317189_a3","S1","neither","other",600.059
"A317948_a2","S1","neither","other",600.056
"A317948_a3","S1","neither","other",600.038
"A006447_a2","S1","neither","other",600.053
"A006447_a3","S1","neither","other",600.045
"A051023_a2","S1","discovered","discovered",107.161
"A051023_a3","S1","neither","other",600.041
"A070886_a2","S1","neither","other",600.062
"A070886_a3","S1","neither","other",600.035
"A070887_a2","S1","neither","other",600.013
"A070887_a3","S1","neither","other",600.063
"A070909_a2","S1","neither","other",600.037
"A070909_a3","S1","neither","other",600.034
"A070950_a2","S1","neither","other",600.052
"A070950_a3","S1","neither","other",600.048
"A071028_a2","S1","neither","other",600.07
"A071028_a3","S1","neither","other",600.048
"A071029_a2","S1","neither","other",600.048
"A071029_a3","S1","neither","other",600.04
"A071030_a2","S1","neither","other",600.046
"A071030_a3","S1","neither","other",600.067
"A071031_a2","S1","neither","other",600.045
"A071031_a3","S1","neither","other",600.032
"A071032_a2","S1","neither","other",600.043
"A071032_a3","S1","neither","other",600.05
"A071035_a2","S1","neither","other",600.042
"A071035_a3","S1","neither","other",600.029
"A071036_a2","S1","neither","other",600.039
"A071036_a3","S1","neither","other",600.039
"A071037_a2","S1","neither","other",600.051
"A071037_a3","S1","neither","other",600.046
"A071038_a2","S1","neither","other",600.052
"A071038_a3","S1","neither","other",600.04
"A071047_a2","S1","neither","other",605
"A071047_a3","S1","discovered","discovered",50.884
"A072272_a2","S1","discovered","discovered",10.086
"A072272_a3","S1","neither","other",600.036
"A075437_a2","S1","neither","other",600.069
"A075437_a3","S1","neither","other",600.034
"A079314_a2","S1","discovered","discovered",10.01
"A079314_a3","S1","not_compressed_predicted","other",233.207
"A079315_a2","S1","discovered","discovered",16.221
"A079315_a3","S1","neither","other",600.03
"A079316_a2","S1","discovered","discovered",10.088
"A079316_a3","S1","neither","other",600.031
"A079317_a2","S1","discovered","discovered",10.086
"A079317_a3","S1","neither","other",600.037
"A085587_a2","S1","not_compressed_predicted","other",34.733
"A085587_a3","S1","neither","other",600.033
