"id","population","solver_family","program_bits","time_s","log2t"
"tot3_0000","S4","DARY",15.03,10.09,3.33485426933163
"tot3_0001","S4","CTX_X",15.61,13.946,3.80177948162471
"tot3_0002","S4","CTX_X",22.48,13.227,3.72541397767482
"tot3_0003","S4","DARY",15.7,23.798,4.57276842844901
"tot3_0004","S4","CTX_X",17.86,18.986,4.24686408315416
"tot3_0005","S4","CTX_X",24.73,18.027,4.17208742259293
"tot3_0006","S4","CTX_X",22.48,12.416,3.63412855752504
"tot3_0007","S4","CTX_X",17.86,19.54,4.28835856219366
"tot3_0008","S4","CTX_X",28.84,15.188,3.924859998957
"tot3_0009","S4","DARY",15.03,10.094,3.33542608663634
"tot3_0010","S4","CTX_X",15.61,14.205,3.82832692641482
"tot3_0011","S4","CTX_X",22.48,15.202,3.92618923436347
"tot3_0012","S4","FUNC_L",46.78,13.144,3.71633248028799
"tot3_0013","S4","CTX_X",17.86,17.653,4.14184147483359
"tot3_0014","S4","CTX_X",24.73,18.466,4.20679948664706
"tot3_0015","S4","CTX_X",22.48,12.587,3.65386256532618
"tot3_0016","S4","CTX_X",17.86,16.621,4.05493527914004
"tot3_0017","S4","CTX_X",28.84,12.045,3.59036248846375
"tot3_0018","S4","DARY",15.03,10.216,3.35275852504064
"tot3_0019","S4","CTX_X",15.61,14.587,3.86661130027101
"tot3_0020","S4","CTX_X",22.48,13.17,3.71918344048179
"tot3_0021","S4","NESTED_LOOP",80.56,422.097,8.72143076533779
"tot3_0022","S4","CTX_X",17.86,17.788,4.15283240468942
"tot3_0023","S4","CTX_X",24.73,17.605,4.13791332208841
"tot3_0024","S4","CTX_X",22.48,12.551,3.64973041026389
"tot3_0025","S4","CTX_X",17.86,17.634,4.1402878597104
"tot3_0026","S4","CTX_X",28.84,12.397,3.63191913414743
"tot3_0027","S4","DARY",15.03,10.087,3.33442525757026
"tot3_0028","S4","NESTED_LOOP",64.81,214.118,7.74226227190251
"tot3_0029","S4","CTX_X",22.48,13.452,3.7497487788645
"tot3_0030","S4","DARY",13.45,10.222,3.35360559133812
"tot3_0031","S4","DARY",13.45,10.211,3.35205225634249
"tot3_0032","S4","DARY",13.45,10.209,3.35176965202408
"tot3_0033","S4","CTX_X",22.48,13.517,3.75670308634617
"tot3_0035","S4","CTX_X",28.84,17.096,4.09558690799772
"tot3_0036","S4","DARY",15.03,10.095,3.33556900555675
"tot3_0037","S4","CTX_X",20.43,42.474,5.4085080761515
"tot3_0039","S4","DARY",13.45,10.234,3.35529823334795
"tot3_0040","S4","DARY",13.45,10.209,3.35176965202408
"tot3_0041","S4","DARY",13.45,10.222,3.35360559133812
"tot3_0042","S4","CTX_X",22.48,14.804,3.88791513563813
"tot3_0044","S4","CTX_X",28.84,12.481,3.64166162502051
"tot3_0045","S4","DARY",15.03,10.116,3.33856703700115
"tot3_0047","S4","CTX_X",22.48,12.574,3.65237176311637
"tot3_0049","S4","DARY",13.45,10.249,3.35741124701605
"tot3_0050","S4","DARY",13.45,10.223,3.35374672071372
"tot3_0051","S4","CTX_X",22.48,13.456,3.75017770559306
