"rule_number","class"
0,"discovered"
1,"discovered"
2,"discovered"
3,"discovered"
4,"discovered"
5,"discovered"
6,"discovered"
7,"discovered"
8,"discovered"
9,"discovered"
10,"discovered"
11,"discovered"
12,"discovered"
13,"discovered"
14,"discovered"
15,"discovered"
16,"discovered"
17,"discovered"
18,"discovered"
19,"discovered"
20,"discovered"
21,"discovered"
22,"discovered"
23,"discovered"
24,"discovered"
25,"neither"
26,"discovered"
27,"discovered"
28,"discovered"
29,"discovered"
30,"discovered"
31,"discovered"
32,"discovered"
33,"discovered"
34,"discovered"
35,"discovered"
36,"discovered"
37,"discovered"
38,"discovered"
39,"discovered"
40,"discovered"
41,"discovered"
42,"discovered"
43,"discovered"
44,"discovered"
45,"neither"
46,"discovered"
47,"discovered"
48,"discovered"
49,"discovered"
50,"discovered"
51,"discovered"
52,"discovered"
53,"discovered"
54,"discovered"
55,"discovered"
56,"discovered"
57,"discovered"
58,"discovered"
59,"discovered"
60,"discovered"
61,"discovered"
62,"discovered"
63,"discovered"
64,"discovered"
65,"discovered"
66,"discovered"
67,"neither"
68,"discovered"
69,"discovered"
70,"discovered"
71,"discovered"
72,"discovered"
73,"discovered"
74,"discovered"
75,"neither"
76,"discovered"
77,"discovered"
78,"discovered"
79,"discovered"
80,"discovered"
81,"discovered"
82,"discovered"
83,"discovered"
84,"discovered"
85,"discovered"
86,"discovered"
87,"discovered"
88,"discovered"
89,"neither"
90,"discovered"
91,"discovered"
92,"discovered"
93,"discovered"
94,"discovered"
95,"discovered"
96,"discovered"
97,"discovered"
98,"discovered"
99,"discovered"
100,"discovered"
101,"neither"
102,"discovered"
103,"discovered"
104,"discovered"
105,"discovered"
106,"discovered"
107,"discovered"
108,"discovered"
109,"discovered"
110,"discovered"
111,"discovered"
112,"discovered"
113,"discovered"
114,"discovered"
115,"discovered"
116,"discovered"
117,"discovered"
118,"discovered"
119,"discovered"
120,"discovered"
121,"discovered"
122,"discovered"
123,"discovered"
124,"discovered"
125,"discovered"
126,"discovered"
127,"discovered"
128,"discovered"
129,"discovered"
130,"discovered"
131,"discovered"
132,"discovered"
133,"discovered"
134,"discovered"
135,"neither"
136,"discovered"
137,"neither"
138,"discovered"
139,"discovered"
140,"discovered"
141,"discovered"
142,"discovered"
143,"discovered"
144,"discovered"
145,"discovered"
146,"discovered"
147,"discovered"
148,"discovered"
149,"neither"
150,"discovered"
151,"discovered"
152,"discovered"
153,"discovered"
154,"discovered"
155,"discovered"
156,"discovered"
157,"discovered"
158,"discovered"
159,"discovered"
160,"discovered"
161,"discovered"
162,"discovered"
163,"discovered"
164,"discovered"
165,"discovered"
166,"discovered"
167,"compressed_only"
168,"discovered"
169,"discovered"
170,"discovered"
171,"discovered"
172,"discovered"
173,"discovered"
174,"discovered"
175,"discovered"
176,"discovered"
177,"discovered"
178,"discovered"
179,"discovered"
180,"discovered"
181,"compressed_only"
182,"discovered"
183,"discovered"
184,"discovered"
185,"discovered"
186,"discovered"
187,"discovered"
188,"discovered"
189,"discovered"
190,"discovered"
191,"discovered"
192,"discovered"
193,"neither"
194,"discovered"
195,"discovered"
196,"discovered"
197,"discovered"
198,"discovered"
199,"discovered"
200,"discovered"
201,"discovered"
202,"discovered"
203,"discovered"
204,"discovered"
205,"discovered"
206,"discovered"
207,"discovered"
208,"discovered"
209,"discovered"
210,"discovered"
211,"discovered"
212,"discovered"
213,"discovered"
214,"discovered"
215,"discovered"
216,"discovered"
217,"discovered"
218,"discovered"
219,"discovered"
220,"discovered"
221,"discovered"
222,"discovered"
223,"discovered"
224,"discovered"
225,"discovered"
226,"discovered"
227,"discovered"
228,"discovered"
229,"discovered"
230,"discovered"
231,"discovered"
232,"discovered"
233,"discovered"
234,"discovered"
235,"discovered"
236,"discovered"
237,"discovered"
238,"discovered"
239,"discovered"
240,"discovered"
241,"discovered"
242,"discovered"
243,"discovered"
244,"discovered"
245,"discovered"
246,"discovered"
247,"discovered"
248,"discovered"
249,"discovered"
250,"discovered"
251,"discovered"
252,"discovered"
253,"discovered"
254,"discovered"
255,"discovered"
