"id","population","class","train_bits","mdl","train_ratio","total_ratio"
"collatz_k3_c1_b2","S1","neither",150,43.34,0.288933333333333,0.2167
"collatz_k3_c1_b3","S1","discovered",237.744375108173,43.59,0.183348186387866,0.1375
"collatz_k3_c1_b4","S1","neither",300,47.53,0.158433333333333,0.1188
"collatz_k3_c3_b2","S1","discovered",150,47.78,0.318533333333333,0.2389
"collatz_k3_c3_b3","S1","neither",237.744375108173,101.72,0.427854496888591,0.3209
"collatz_k3_c3_b4","S1","neither",300,83.73,0.2791,0.2093
"collatz_k3_c5_b2","S1","neither",150,97.72,0.651466666666667,0.4886
"collatz_k3_c5_b3","S1","neither",237.744375108173,49.99,0.210267855873581,0.1577
"collatz_k3_c5_b4","S1","neither",300,44.53,0.148433333333333,0.1113
"collatz_k3_c7_b2","S1","neither",150,65.34,0.4356,0.3267
"collatz_k3_c7_b3","S1","neither",237.744375108173,46.53,0.195714409557866,0.1468
"collatz_k3_c7_b4","S1","neither",300,51.44,0.171466666666667,0.1286
"collatz_k5_c1_b2","S1","neither",150,80.56,0.537066666666667,0.4028
"collatz_k5_c1_b3","S1","neither",237.744375108173,52.99,0.22288645094501,0.1672
"collatz_k5_c1_b4","S1","neither",300,55.98,0.1866,0.14
"collatz_k5_c3_b2","S1","neither",150,83.73,0.5582,0.4187
"collatz_k5_c3_b3","S1","neither",237.744375108173,59.91,0.25199334357644,0.189
"collatz_k5_c3_b4","S1","neither",300,83.73,0.2791,0.2093
"collatz_k5_c5_b2","S1","discovered",150,47.78,0.318533333333333,0.2389
"collatz_k5_c5_b3","S1","neither",237.744375108173,58.7,0.246903843564297,0.1852
"collatz_k5_c5_b4","S1","neither",300,83.73,0.2791,0.2093
"collatz_k5_c7_b2","S1","neither",150,85.32,0.5688,0.4266
"collatz_k5_c7_b3","S1","neither",237.744375108173,51.28,0.215693851754296,0.1618
"collatz_k5_c7_b4","S1","neither",300,53.61,0.1787,0.134
"collatz_k7_c1_b2","S1","neither",150,54.38,0.362533333333333,0.2719
"collatz_k7_c1_b3","S1","neither",237.744375108173,49.53,0.208333004629295,0.1562
"collatz_k7_c1_b4","S1","neither",300,46.84,0.156133333333333,0.1171
"collatz_k7_c3_b2","S1","discovered",150,47.78,0.318533333333333,0.2389
"collatz_k7_c3_b3","S1","neither",237.744375108173,45.53,0.191508211200723,0.1436
"collatz_k7_c3_b4","S1","discovered",300,116.78,0.389266666666667,0.2919
"collatz_k7_c5_b2","S1","discovered",150,47.78,0.318533333333333,0.2389
"collatz_k7_c5_b3","S1","neither",237.744375108173,51.28,0.215693851754296,0.1618
"collatz_k7_c5_b4","S1","discovered",300,116.78,0.389266666666667,0.2919
"collatz_k7_c7_b2","S1","discovered",150,47.78,0.318533333333333,0.2389
"collatz_k7_c7_b3","S1","neither",237.744375108173,55.73,0.234411434443582,0.1758
"collatz_k7_c7_b4","S1","discovered",300,116.78,0.389266666666667,0.2919
"collatz_k9_c1_b2","S1","neither",150,53.98,0.359866666666667,0.2699
"collatz_k9_c1_b3","S1","neither",237.744375108173,48.53,0.204126806272152,0.1531
"collatz_k9_c1_b4","S1","neither",300,61.14,0.2038,0.1529
"collatz_k9_c3_b2","S1","discovered",150,47.78,0.318533333333333,0.2389
"collatz_k9_c3_b3","S1","neither",237.744375108173,83.73,0.352184988443588,0.2641
"collatz_k9_c3_b4","S1","neither",300,83.73,0.2791,0.2093
"collatz_k9_c5_b2","S1","neither",150,83.73,0.5582,0.4187
"collatz_k9_c5_b3","S1","neither",237.744375108173,57.02,0.239837430324297,0.1799
"collatz_k9_c5_b4","S1","neither",300,62.81,0.209366666666667,0.157
"collatz_k9_c7_b2","S1","neither",150,47.78,0.318533333333333,0.2389
"collatz_k9_c7_b3","S1","neither",237.744375108173,83.73,0.352184988443588,0.2641
"collatz_k9_c7_b4","S1","neither",300,83.73,0.2791,0.2093
"collatz_k11_c1_b2","S1","neither",150,47.78,0.318533333333333,0.2389
"collatz_k11_c1_b3","S1","neither",237.744375108173,83.73,0.352184988443588,0.2641
"collatz_k11_c1_b4","S1","neither",300,114.45,0.3815,0.2861
"collatz_k11_c3_b2","S1","neither",150,48.78,0.3252,0.2439
"collatz_k11_c3_b3","S1","neither",237.744375108173,114.45,0.481399401975022,0.3611
"collatz_k11_c3_b4","S1","neither",300,64.09,0.213633333333333,0.1602
"collatz_k11_c5_b2","S1","neither",150,47.78,0.318533333333333,0.2389
"collatz_k11_c5_b3","S1","neither",237.744375108173,114.45,0.481399401975022,0.3611
"collatz_k11_c5_b4","S1","neither",300,114.45,0.3815,0.2861
"collatz_k11_c7_b2","S1","neither",150,47.78,0.318533333333333,0.2389
"collatz_k11_c7_b3","S1","neither",237.744375108173,55.1,0.231761529478582,0.1738
"collatz_k11_c7_b4","S1","neither",300,83.73,0.2791,0.2093
