"low_sum","high_sum","n","n_disc","n_neit","n_comp","disc_rate"
0,0,3,3,0,0,1
1,0,9,9,0,0,1
2,0,18,17,1,0,0.944444444444444
3,0,21,16,5,0,0.761904761904762
4,0,18,17,1,0,0.944444444444444
5,0,9,8,1,0,0.888888888888889
6,0,3,3,0,0,1
0,1,9,9,0,0,1
1,1,27,25,2,0,0.925925925925926
2,1,54,46,8,0,0.851851851851852
3,1,63,32,31,0,0.507936507936508
4,1,54,43,11,0,0.796296296296296
5,1,27,20,7,0,0.740740740740741
6,1,9,9,0,0,1
0,2,18,18,0,0,1
1,2,54,49,5,0,0.907407407407407
2,2,108,93,15,0,0.861111111111111
3,2,126,61,64,1,0.484126984126984
4,2,108,81,27,0,0.75
5,2,54,43,11,0,0.796296296296296
6,2,18,18,0,0,1
0,3,21,21,0,0,1
1,3,63,54,9,0,0.857142857142857
2,3,126,103,23,0,0.817460317460317
3,3,147,61,86,0,0.414965986394558
4,3,126,89,37,0,0.706349206349206
5,3,63,39,24,0,0.619047619047619
6,3,21,21,0,0,1
0,4,18,18,0,0,1
1,4,54,50,4,0,0.925925925925926
2,4,108,95,13,0,0.87962962962963
3,4,126,76,50,0,0.603174603174603
4,4,108,85,23,0,0.787037037037037
5,4,54,46,8,0,0.851851851851852
6,4,18,18,0,0,1
0,5,9,9,0,0,1
1,5,27,25,2,0,0.925925925925926
2,5,54,49,5,0,0.907407407407407
3,5,63,43,20,0,0.682539682539683
4,5,54,46,8,0,0.851851851851852
5,5,27,25,2,0,0.925925925925926
6,5,9,9,0,0,1
0,6,3,3,0,0,1
1,6,9,9,0,0,1
2,6,18,18,0,0,1
3,6,21,21,0,0,1
4,6,18,18,0,0,1
5,6,9,9,0,0,1
6,6,3,3,0,0,1
