null_type,population,compressed,predicted
shuffled,S1,1,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,1
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,1,0
shuffled,S1,0,1
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S1,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,1,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,1,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,1,1
shuffled,S3,1,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,1,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,1,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,1,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,1,0
shuffled,S3,0,0
shuffled,S3,0,0
shuffled,S3,1,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,1,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,1,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,1,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,1,1
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,1,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,1,1
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,1,0
shuffled,S4,0,0
shuffled,S4,1,1
shuffled,S4,1,1
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,1,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,1,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,1,0
shuffled,S4,0,0
shuffled,S4,1,0
shuffled,S4,1,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,1,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,1,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,1,1
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S4,1,0
shuffled,S4,0,0
shuffled,S4,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
shuffled,S2,0,0
