id,category,oeis_xref,A,total_n,train_n,k,sc,pred_sc,solomonoff_class,mdl,raw_bits,ratio,time_s,solver_desc
A005265_a2_shuf,self,,2,53,33,20,33,19,compressed_only,13.53,53.00,0.2554,14.746,"DARY d=2 LOAD(R0,1) init=0"
A071028_a3_shuf,self,,3,99,75,24,23,0,neither,109.25,156.91,0.6962,591.838,NESTED_LOOP L=6
A071035_a3_shuf,self,,3,100,75,25,12,0,neither,55.16,158.50,0.3480,591.923,P2H_ITER d=5 r0=1
A071036_a2_shuf,self,,2,99,75,24,18,0,neither,75.47,99.00,0.7624,600.154,WIDE_BIT nr=3 bit=255
A071037_a2_shuf,self,,2,99,75,24,22,0,neither,98.40,99.00,0.9939,592.196,NESTED_LOOP L=5
A071047_a3_shuf,self,,3,68,48,20,12,0,neither,54.16,107.78,0.5025,591.445,P2H_ITER d=5 r0=1
A072495_a3_shuf,self,,3,70,50,20,12,0,neither,49.16,110.95,0.4431,590.449,P2H_FUNC d=5 R0
A079315_a2_shuf,self,,2,61,41,20,41,20,not_compressed_predicted,45.87,61.00,0.7520,41.711,FUNC_L d=4
A093514_a3_shuf,self,,3,62,42,20,11,0,neither,49.87,98.27,0.5075,591.424,ITER d=4
A093516_a3_shuf,self,,3,61,41,20,11,0,neither,56.32,96.68,0.5826,591.235,P2H_FUNC d=6 R0
A128154_a3_shuf,self,,3,50,30,20,12,0,neither,57.32,79.25,0.7233,592.038,P2H_FUNC d=6 R0
A128159_a2_shuf,self,,2,53,33,20,23,0,neither,72.30,53.00,1.3642,600.063,WIDE_BIT nr=3 bit=255
A173456_a2_shuf,self,,2,49,29,20,29,19,compressed_only,13.53,49.00,0.2762,10.177,"DARY d=2 LOAD(R0,1) init=0"
A173457_a2_shuf,self,,2,61,41,20,41,20,not_compressed_predicted,46.87,61.00,0.7684,21.033,FUNC_L d=4
A231348_a3_shuf,self,,3,65,45,20,11,0,neither,42.87,103.02,0.4161,591.849,FUNC d=4
A265225_a2_shuf,self,,2,53,33,20,21,0,neither,102.40,53.00,1.9321,591.912,NESTED_LOOP L=5
