sample_idx,population,source_csv,original_id,category,alphabet_size,total_n,multiset_H
0,S1,baseline_20260511T091836Z.csv,A005265_a2,oeis_hard,2,53,0.1350
1,S1,baseline_20260511T091836Z.csv,A071028_a3,oeis_cellular,3,99,0.9940
2,S1,baseline_20260511T091836Z.csv,A071035_a3,oeis_cellular,3,100,0.9580
3,S1,baseline_20260511T091836Z.csv,A071036_a2,oeis_cellular,2,99,0.9993
4,S1,baseline_20260511T091836Z.csv,A071037_a2,oeis_cellular,2,99,0.8850
5,S1,baseline_20260511T091836Z.csv,A071047_a3,oeis_cellular,3,68,1.5511
6,S1,baseline_20260511T091836Z.csv,A072495_a3,oeis_morphic,3,70,1.5838
7,S1,baseline_20260511T091836Z.csv,A079315_a2,oeis_cellular,2,61,0.1207
8,S1,baseline_20260511T091836Z.csv,A093514_a3,oeis_cellular,3,62,1.5730
9,S1,baseline_20260511T091836Z.csv,A093516_a3,oeis_cellular,3,61,1.5358
10,S1,baseline_20260511T091836Z.csv,A128154_a3,oeis_hard,3,50,1.5413
11,S1,baseline_20260511T091836Z.csv,A128159_a2,oeis_hard,2,53,0.9414
12,S1,baseline_20260511T091836Z.csv,A173456_a2,oeis_cellular,2,49,0.1437
13,S1,baseline_20260511T091836Z.csv,A173457_a2,oeis_cellular,2,61,0.1207
14,S1,baseline_20260511T091836Z.csv,A231348_a3,oeis_cellular,3,65,1.4952
15,S1,baseline_20260511T091836Z.csv,A265225_a2,oeis_cellular,2,53,0.8329
16,S1,baseline_20260511T091836Z.csv,A266282_a3,oeis_cellular,3,86,0.9996
17,S1,baseline_20260511T091836Z.csv,A266441_a3,oeis_cellular,3,86,0.9965
18,S1,baseline_20260511T091836Z.csv,A266716_a3,oeis_cellular,3,86,0.9965
19,S1,baseline_20260511T091836Z.csv,A266786_a2,oeis_cellular,2,86,0.9965
20,S1,baseline_20260511T091836Z.csv,A267015_a2,oeis_cellular,2,86,0.9859
21,S1,baseline_20260511T091836Z.csv,A267463_a3,oeis_cellular,3,86,0.9984
22,S1,baseline_20260511T091836Z.csv,A267576_a2,oeis_cellular,2,86,0.9103
23,S1,baseline_20260511T091836Z.csv,A267870_a3,oeis_cellular,3,86,0.1594
24,S1,baseline_20260511T091836Z.csv,A277799_a2,oeis_cellular,2,43,0.9996
25,S1,baseline_20260511T091836Z.csv,A299477_a3,oeis_cellular,3,49,1.5256
26,S1,baseline_20260511T091836Z.csv,A334496_a2,oeis_cellular,2,42,0.9183
27,S1,baseline_20260511T091836Z.csv,A334499_a2,oeis_cellular,2,40,0.7219
28,S1,baseline_20260511T091836Z.csv,collatz_k11_c3_b3,collatz_grid,3,200,0.3364
29,S1,baseline_20260511T091836Z.csv,collatz_k11_c7_b2,collatz_grid,2,200,0.1944
30,S1,baseline_20260511T091836Z.csv,collatz_k3_c3_b2,collatz_grid,2,200,0.1414
31,S1,baseline_20260511T091836Z.csv,collatz_k5_c1_b2,collatz_grid,2,200,0.4022
32,S1,baseline_20260511T091836Z.csv,collatz_k5_c1_b3,collatz_grid,3,200,1.0279
33,S1,baseline_20260511T091836Z.csv,collatz_k5_c3_b2,collatz_grid,2,200,0.1944
34,S1,baseline_20260511T091836Z.csv,collatz_k5_c3_b3,collatz_grid,3,200,0.9916
35,S1,baseline_20260511T091836Z.csv,collatz_k9_c5_b4,collatz_grid,4,200,0.4731
36,S1,baseline_20260511T091836Z.csv,collatz_k9_c7_b4,collatz_grid,4,200,0.2734
37,S2,baseline_20260513T232442Z.csv,eca_015,eca256,2,500,1.0000
38,S2,baseline_20260513T232442Z.csv,eca_027,eca256,2,500,1.0000
39,S2,baseline_20260513T232442Z.csv,eca_030,eca256,2,500,0.9997
40,S2,baseline_20260513T232442Z.csv,eca_032,eca256,2,500,0.0208
41,S2,baseline_20260513T232442Z.csv,eca_047,eca256,2,500,1.0000
42,S2,baseline_20260513T232442Z.csv,eca_048,eca256,2,500,0.0208
43,S2,baseline_20260513T232442Z.csv,eca_064,eca256,2,500,0.0208
44,S2,baseline_20260513T232442Z.csv,eca_084,eca256,2,500,0.0376
45,S2,baseline_20260513T232442Z.csv,eca_088,eca256,2,500,0.0208
46,S2,baseline_20260513T232442Z.csv,eca_107,eca256,2,500,0.9999
47,S2,baseline_20260513T232442Z.csv,eca_109,eca256,2,500,0.9170
48,S2,baseline_20260513T232442Z.csv,eca_111,eca256,2,500,0.9998
49,S2,baseline_20260513T232442Z.csv,eca_114,eca256,2,500,1.0000
50,S2,baseline_20260513T232442Z.csv,eca_120,eca256,2,500,0.0208
51,S2,baseline_20260513T232442Z.csv,eca_134,eca256,2,500,0.0376
52,S2,baseline_20260513T232442Z.csv,eca_145,eca256,2,500,0.9190
53,S2,baseline_20260513T232442Z.csv,eca_174,eca256,2,500,0.0376
54,S2,baseline_20260513T232442Z.csv,eca_200,eca256,2,500,0.0208
55,S2,baseline_20260513T232442Z.csv,eca_241,eca256,2,500,0.0376
56,S2,baseline_20260513T232442Z.csv,eca_250,eca256,2,500,1.0000
57,S3,baseline_20260514T024454Z.csv,A000002_a3,oeis_core,3,108,0.9998
58,S3,baseline_20260514T024454Z.csv,A000120_a7,oeis_core,7,105,2.2905
59,S3,baseline_20260514T024454Z.csv,A000203_a5,oeis_core,5,70,2.3115
60,S3,baseline_20260514T024454Z.csv,A000217_a5,oeis_core,5,54,1.5253
61,S3,baseline_20260514T024454Z.csv,A000290_a5,oeis_core,5,51,1.5365
62,S3,baseline_20260514T024454Z.csv,A000326_a7,oeis_core,7,47,1.9329
63,S3,baseline_20260514T024454Z.csv,A000796_a3,oeis_core,3,105,1.5627
64,S3,baseline_20260514T024454Z.csv,A000961_a4,oeis_core,4,64,1.4532
65,S3,baseline_20260514T024454Z.csv,A001055_a4,oeis_core,4,103,1.8752
66,S3,baseline_20260514T024454Z.csv,A001065_a7,oeis_core,7,80,2.4153
67,S3,baseline_20260514T024454Z.csv,A001113_a2,oeis_core,2,105,0.9994
68,S3,baseline_20260514T024454Z.csv,A001157_a5,oeis_core,5,50,1.2098
69,S3,baseline_20260514T024454Z.csv,A001227_a4,oeis_core,4,105,1.5458
70,S3,baseline_20260514T024454Z.csv,A001358_a3,oeis_core,3,61,1.5732
71,S3,baseline_20260514T024454Z.csv,A001477_a7,oeis_core,7,78,2.8067
72,S3,baseline_20260514T024454Z.csv,A001481_a3,oeis_core,3,66,1.4832
73,S3,baseline_20260514T024454Z.csv,A001481_a7,oeis_core,7,66,2.7285
74,S3,baseline_20260514T024454Z.csv,A001622_a5,oeis_core,5,105,2.3094
75,S3,baseline_20260514T024454Z.csv,A001969_a3,oeis_core,3,65,1.3707
76,S3,baseline_20260514T024454Z.csv,A002113_a2,oeis_core,2,61,0.9983
77,S3,baseline_20260514T024454Z.csv,A002378_a4,oeis_core,4,51,0.9997
78,S3,baseline_20260514T024454Z.csv,A003484_a4,oeis_core,4,102,1.4586
79,S3,baseline_20260514T024454Z.csv,A004011_a4,oeis_core,4,53,0.1350
80,S3,baseline_20260514T024454Z.csv,A004018_a2,oeis_core,2,102,0.0795
81,S3,baseline_20260514T024454Z.csv,A004159_a2,oeis_base,2,80,0.9778
82,S3,baseline_20260514T024454Z.csv,A005349_a4,oeis_base,4,61,1.8590
83,S3,baseline_20260514T024454Z.csv,A005811_a4,oeis_core,4,94,1.9971
84,S3,baseline_20260514T024454Z.csv,A006995_a2,oeis_base,2,58,0.1257
85,S3,baseline_20260514T024454Z.csv,A007090_a3,oeis_base,3,64,1.5846
86,S3,baseline_20260514T024454Z.csv,A007091_a4,oeis_base,4,66,1.9662
87,S3,baseline_20260514T024454Z.csv,A007092_a3,oeis_base,3,66,1.5850
88,S3,baseline_20260514T024454Z.csv,A007094_a4,oeis_base,4,74,1.9995
89,S3,baseline_20260514T024454Z.csv,A007095_a2,oeis_base,2,77,0.9901
90,S3,baseline_20260514T024454Z.csv,A007770_a3,oeis_base,3,54,1.2680
91,S3,baseline_20260514T024454Z.csv,A008277_a2,oeis_core,2,66,0.8660
92,S3,baseline_20260514T024454Z.csv,A008279_a5,oeis_core,5,55,1.9065
93,S3,baseline_20260514T024454Z.csv,A008292_a5,oeis_core,5,55,1.9928
94,S3,baseline_20260514T024454Z.csv,A011531_a3,oeis_base,3,53,1.5784
95,S3,baseline_20260514T024454Z.csv,A018252_a4,oeis_core,4,65,1.9150
96,S3,baseline_20260514T024454Z.csv,A020652_a7,oeis_core,7,97,2.7338
97,S3,baseline_20260514T024454Z.csv,A025487_a3,oeis_core,3,54,0.9864
98,S3,baseline_20260514T024454Z.csv,A027642_a3,oeis_core,3,62,1.1028
99,S3,baseline_20260514T024454Z.csv,A029447_a3,oeis_base,3,49,1.5770
100,S3,baseline_20260514T024454Z.csv,A029447_a4,oeis_base,4,49,1.3787
