sample_idx,original_id,shuffled_id,population,category,A,N,seed,original_multiset_sha,shuffled_multiset_sha,first5_orig,first5_shuf
0,A005265_a2,A005265_a2_shuf,S1,oeis_hard,2,53,7813800390005147735,87d5f911c341195b,87d5f911c341195b,1 0 1 1 1,1 1 1 1 1
1,A071028_a3,A071028_a3_shuf,S1,oeis_cellular,3,99,11340746600624389424,0ae268c284f932fc,0ae268c284f932fc,1 1 0 1 1,0 0 0 0 1
2,A071035_a3,A071035_a3_shuf,S1,oeis_cellular,3,100,5520049593004446917,354a21b4425f781e,354a21b4425f781e,1 1 1 1 1,1 0 0 0 1
3,A071036_a2,A071036_a2_shuf,S1,oeis_cellular,2,99,11527690659266448562,f6f578aa48580ac3,f6f578aa48580ac3,1 1 1 1 1,1 0 1 0 0
4,A071037_a2,A071037_a2_shuf,S1,oeis_cellular,2,99,7146735547616493372,5f3e72a12369d06e,5f3e72a12369d06e,1 1 1 1 1,0 0 1 0 1
5,A071047_a3,A071047_a3_shuf,S1,oeis_cellular,3,68,14408533215311760845,f9f803a4dcb6bad6,f9f803a4dcb6bad6,1 0 0 0 2,1 2 2 0 1
6,A072495_a3,A072495_a3_shuf,S1,oeis_morphic,3,70,10413449848756473293,01a28cfe36fec757,01a28cfe36fec757,0 1 2 0 1,0 0 0 1 2
7,A079315_a2,A079315_a2_shuf,S1,oeis_cellular,2,61,9133150865762594305,0635ba8174c5f6ef,0635ba8174c5f6ef,0 1 0 0 0,0 0 0 0 0
8,A093514_a3,A093514_a3_shuf,S1,oeis_cellular,3,62,3343519822628400561,dbbbb5372e271543,dbbbb5372e271543,2 0 1 0 2,1 0 2 0 0
9,A093516_a3,A093516_a3_shuf,S1,oeis_cellular,3,61,15654792383860085642,4c2bc25b811ff65e,4c2bc25b811ff65e,1 0 1 1 1,0 1 0 2 1
10,A128154_a3,A128154_a3_shuf,S1,oeis_hard,3,50,7867740185112217986,ecbd4b86c4d93d39,ecbd4b86c4d93d39,1 0 2 2 0,1 1 0 2 1
11,A128159_a2,A128159_a2_shuf,S1,oeis_hard,2,53,11985125580605998500,3e8bec9001eacaa1,3e8bec9001eacaa1,0 1 0 1 1,1 1 1 1 0
12,A173456_a2,A173456_a2_shuf,S1,oeis_cellular,2,49,7935020293897109744,d7346644834fcd00,d7346644834fcd00,0 1 1 1 1,1 1 1 1 1
13,A173457_a2,A173457_a2_shuf,S1,oeis_cellular,2,61,16784513816079767453,0635ba8174c5f6ef,0635ba8174c5f6ef,0 1 0 0 0,0 0 0 0 0
14,A231348_a3,A231348_a3_shuf,S1,oeis_cellular,3,65,14457980292518538233,99a0d03b37b4f13c,99a0d03b37b4f13c,0 1 0 1 2,0 2 2 0 1
15,A265225_a2,A265225_a2_shuf,S1,oeis_cellular,2,53,11312813701364990145,9bf6985dc5a084de,9bf6985dc5a084de,1 0 0 0 1,0 0 0 1 0
16,A266282_a3,A266282_a3_shuf,S1,oeis_cellular,3,86,3541022925563082463,bb611933521fadff,bb611933521fadff,1 0 1 0 0,1 0 0 0 1
17,A266441_a3,A266441_a3_shuf,S1,oeis_cellular,3,86,2184966967142381017,667c4f5ec452aa69,667c4f5ec452aa69,1 0 0 1 0,1 1 1 1 0
