id,category,oeis_xref,A,total_n,train_n,k,sc,pred_sc,solomonoff_class,mdl,raw_bits,ratio,time_s,solver_desc
tot3_0000,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.090,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0001,totalistic_3state,,3,500,375,125,375,125,discovered,15.61,792.48,0.0197,13.946,CTX_X nr=1 d=1 perm=(0) out=R0 L=1
tot3_0002,totalistic_3state,,3,500,375,125,375,125,discovered,22.48,792.48,0.0284,13.227,CTX_X nr=1 d=1 perm=(0) out=R0 L=2
tot3_0003,totalistic_3state,,3,500,375,125,375,125,discovered,15.70,792.48,0.0198,23.798,DARY d=2 DEC(R0) init=2
tot3_0004,totalistic_3state,,3,500,375,125,375,125,discovered,17.86,792.48,0.0225,18.986,CTX_X nr=1 d=2 perm=(1) out=R0 L=1
tot3_0005,totalistic_3state,,3,500,375,125,375,125,discovered,24.73,792.48,0.0312,18.027,CTX_X nr=1 d=2 perm=(1) out=R0 L=2
tot3_0006,totalistic_3state,,3,500,375,125,375,125,discovered,22.48,792.48,0.0284,12.416,CTX_X nr=1 d=1 perm=(0) out=R0 L=2
tot3_0007,totalistic_3state,,3,500,375,125,375,125,discovered,17.86,792.48,0.0225,19.540,CTX_X nr=1 d=2 perm=(1) out=R0 L=1
tot3_0008,totalistic_3state,,3,500,375,125,375,125,discovered,28.84,792.48,0.0364,15.188,CTX_X nr=1 d=1 perm=(0) out=R0 L=3
tot3_0009,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.094,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0010,totalistic_3state,,3,500,375,125,375,125,discovered,15.61,792.48,0.0197,14.205,CTX_X nr=1 d=1 perm=(0) out=R0 L=1
tot3_0011,totalistic_3state,,3,500,375,125,375,125,discovered,22.48,792.48,0.0284,15.202,CTX_X nr=1 d=1 perm=(0) out=R0 L=2
tot3_0012,totalistic_3state,,3,500,375,125,375,125,discovered,46.78,792.48,0.0590,13.144,FUNC_L d=4
tot3_0013,totalistic_3state,,3,500,375,125,375,125,discovered,17.86,792.48,0.0225,17.653,CTX_X nr=1 d=2 perm=(1) out=R0 L=1
tot3_0014,totalistic_3state,,3,500,375,125,375,125,discovered,24.73,792.48,0.0312,18.466,CTX_X nr=1 d=2 perm=(1) out=R0 L=2
tot3_0015,totalistic_3state,,3,500,375,125,375,125,discovered,22.48,792.48,0.0284,12.587,CTX_X nr=1 d=1 perm=(0) out=R0 L=2
tot3_0016,totalistic_3state,,3,500,375,125,375,125,discovered,17.86,792.48,0.0225,16.621,CTX_X nr=1 d=2 perm=(1) out=R0 L=1
tot3_0017,totalistic_3state,,3,500,375,125,375,125,discovered,28.84,792.48,0.0364,12.045,CTX_X nr=1 d=1 perm=(0) out=R0 L=3
tot3_0018,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.216,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0019,totalistic_3state,,3,500,375,125,375,125,discovered,15.61,792.48,0.0197,14.587,CTX_X nr=1 d=1 perm=(0) out=R0 L=1
tot3_0020,totalistic_3state,,3,500,375,125,375,125,discovered,22.48,792.48,0.0284,13.170,CTX_X nr=1 d=1 perm=(0) out=R0 L=2
tot3_0021,totalistic_3state,,3,500,375,125,375,125,discovered,80.56,792.48,0.1017,422.097,NESTED_LOOP L=4
tot3_0022,totalistic_3state,,3,500,375,125,375,125,discovered,17.86,792.48,0.0225,17.788,CTX_X nr=1 d=2 perm=(1) out=R0 L=1
tot3_0023,totalistic_3state,,3,500,375,125,375,125,discovered,24.73,792.48,0.0312,17.605,CTX_X nr=1 d=2 perm=(1) out=R0 L=2
tot3_0024,totalistic_3state,,3,500,375,125,375,125,discovered,22.48,792.48,0.0284,12.551,CTX_X nr=1 d=1 perm=(0) out=R0 L=2
tot3_0025,totalistic_3state,,3,500,375,125,375,125,discovered,17.86,792.48,0.0225,17.634,CTX_X nr=1 d=2 perm=(1) out=R0 L=1
tot3_0026,totalistic_3state,,3,500,375,125,375,125,discovered,28.84,792.48,0.0364,12.397,CTX_X nr=1 d=1 perm=(0) out=R0 L=3
tot3_0027,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.087,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0028,totalistic_3state,,3,500,375,125,375,125,discovered,64.81,792.48,0.0818,214.118,NESTED_LOOP L=3
tot3_0029,totalistic_3state,,3,500,375,125,375,125,discovered,22.48,792.48,0.0284,13.452,CTX_X nr=1 d=1 perm=(0) out=R0 L=2
tot3_0030,totalistic_3state,,3,500,375,125,375,125,discovered,13.45,792.48,0.0170,10.222,"DARY d=2 LOAD(R0,1) init=0"
tot3_0031,totalistic_3state,,3,500,375,125,375,125,discovered,13.45,792.48,0.0170,10.211,"DARY d=2 LOAD(R0,1) init=0"
tot3_0032,totalistic_3state,,3,500,375,125,375,125,discovered,13.45,792.48,0.0170,10.209,"DARY d=2 LOAD(R0,1) init=0"
tot3_0033,totalistic_3state,,3,500,375,125,375,125,discovered,22.48,792.48,0.0284,13.517,CTX_X nr=1 d=1 perm=(0) out=R0 L=2
tot3_0034,totalistic_3state,,3,500,375,125,10,0,neither,62.09,792.48,0.0784,600.063,STEP off=204 halt=13
tot3_0035,totalistic_3state,,3,500,375,125,375,125,discovered,28.84,792.48,0.0364,17.096,CTX_X nr=1 d=1 perm=(0) out=R0 L=3
tot3_0036,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.095,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0037,totalistic_3state,,3,500,375,125,375,125,discovered,20.43,792.48,0.0258,42.474,CTX_X nr=1 d=4 perm=(0) out=R0 L=1
tot3_0038,totalistic_3state,,3,500,375,125,16,0,neither,59.09,792.48,0.0746,600.061,STEP off=290 halt=3
tot3_0039,totalistic_3state,,3,500,375,125,375,125,discovered,13.45,792.48,0.0170,10.234,"DARY d=2 LOAD(R0,1) init=0"
tot3_0040,totalistic_3state,,3,500,375,125,375,125,discovered,13.45,792.48,0.0170,10.209,"DARY d=2 LOAD(R0,1) init=0"
tot3_0041,totalistic_3state,,3,500,375,125,375,125,discovered,13.45,792.48,0.0170,10.222,"DARY d=2 LOAD(R0,1) init=0"
tot3_0042,totalistic_3state,,3,500,375,125,375,125,discovered,22.48,792.48,0.0284,14.804,CTX_X nr=1 d=1 perm=(0) out=R0 L=2
tot3_0043,totalistic_3state,,3,500,375,125,21,0,neither,83.73,792.48,0.1057,600.462,NESTED_LOOP L=4
tot3_0044,totalistic_3state,,3,500,375,125,375,125,discovered,28.84,792.48,0.0364,12.481,CTX_X nr=1 d=1 perm=(0) out=R0 L=3
tot3_0045,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.116,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0046,totalistic_3state,,3,500,375,125,13,0,neither,60.97,792.48,0.0769,600.047,STEP off=299 halt=4
tot3_0047,totalistic_3state,,3,500,375,125,375,125,discovered,22.48,792.48,0.0284,12.574,CTX_X nr=1 d=1 perm=(0) out=R0 L=2
tot3_0048,totalistic_3state,,3,500,375,125,12,0,neither,59.40,792.48,0.0750,600.061,STEP off=203 halt=3
tot3_0049,totalistic_3state,,3,500,375,125,375,125,discovered,13.45,792.48,0.0170,10.249,"DARY d=2 LOAD(R0,1) init=0"
tot3_0050,totalistic_3state,,3,500,375,125,375,125,discovered,13.45,792.48,0.0170,10.223,"DARY d=2 LOAD(R0,1) init=0"
tot3_0051,totalistic_3state,,3,500,375,125,375,125,discovered,22.48,792.48,0.0284,13.456,CTX_X nr=1 d=1 perm=(0) out=R0 L=2
tot3_0052,totalistic_3state,,3,500,375,125,21,0,neither,83.73,792.48,0.1057,600.085,NESTED_LOOP L=4
tot3_0053,totalistic_3state,,3,500,375,125,375,125,discovered,28.84,792.48,0.0364,12.201,CTX_X nr=1 d=1 perm=(0) out=R0 L=3
tot3_0054,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.089,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0055,totalistic_3state,,3,500,375,125,375,125,discovered,20.43,792.48,0.0258,43.937,CTX_X nr=1 d=4 perm=(3) out=R0 L=1
tot3_0056,totalistic_3state,,3,500,375,125,375,125,discovered,22.48,792.48,0.0284,13.291,CTX_X nr=1 d=1 perm=(0) out=R0 L=2
tot3_0057,totalistic_3state,,3,500,375,125,375,125,discovered,24.73,792.48,0.0312,17.483,CTX_X nr=1 d=2 perm=(1) out=R0 L=2
tot3_0058,totalistic_3state,,3,500,375,125,375,125,discovered,17.86,792.48,0.0225,16.680,CTX_X nr=1 d=2 perm=(1) out=R0 L=1
tot3_0059,totalistic_3state,,3,500,375,125,375,125,discovered,31.09,792.48,0.0392,16.952,CTX_X nr=1 d=2 perm=(1) out=R0 L=3
tot3_0060,totalistic_3state,,3,500,375,125,375,125,discovered,22.48,792.48,0.0284,13.035,CTX_X nr=1 d=1 perm=(0) out=R0 L=2
tot3_0061,totalistic_3state,,3,500,375,125,375,125,discovered,15.61,792.48,0.0197,14.277,CTX_X nr=1 d=1 perm=(0) out=R0 L=1
tot3_0062,totalistic_3state,,3,500,375,125,375,125,discovered,28.84,792.48,0.0364,12.533,CTX_X nr=1 d=1 perm=(0) out=R0 L=3
tot3_0063,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.089,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0064,totalistic_3state,,3,500,375,125,375,125,discovered,22.07,792.48,0.0279,43.056,CTX_X nr=1 d=6 perm=(5) out=R0 L=1
tot3_0065,totalistic_3state,,3,500,375,125,13,0,neither,55.80,792.48,0.0704,600.061,STEP off=92 halt=1
tot3_0066,totalistic_3state,,3,500,375,125,13,0,neither,41.53,792.48,0.0524,600.047,FUNC d=4
tot3_0067,totalistic_3state,,3,500,375,125,375,125,discovered,17.86,792.48,0.0225,17.512,CTX_X nr=1 d=2 perm=(1) out=R0 L=1
tot3_0068,totalistic_3state,,3,500,375,125,375,125,discovered,17.86,792.48,0.0225,22.142,CTX_X nr=1 d=2 perm=(1) out=R0 L=1
tot3_0069,totalistic_3state,,3,500,375,125,375,125,discovered,22.48,792.48,0.0284,12.407,CTX_X nr=1 d=1 perm=(0) out=R0 L=2
tot3_0070,totalistic_3state,,3,500,375,125,375,125,discovered,15.61,792.48,0.0197,13.615,CTX_X nr=1 d=1 perm=(0) out=R0 L=1
tot3_0071,totalistic_3state,,3,500,375,125,375,125,discovered,28.84,792.48,0.0364,12.074,CTX_X nr=1 d=1 perm=(0) out=R0 L=3
tot3_0072,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.084,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0073,totalistic_3state,,3,500,375,125,375,125,discovered,54.73,792.48,0.0691,43.960,FUNC_L d=5
tot3_0074,totalistic_3state,,3,500,375,125,375,125,discovered,22.48,792.48,0.0284,12.060,CTX_X nr=1 d=1 perm=(0) out=R0 L=2
tot3_0075,totalistic_3state,,3,500,375,125,375,125,discovered,24.73,792.48,0.0312,16.793,CTX_X nr=1 d=2 perm=(1) out=R0 L=2
